Call ID,CallTimestamp,CallDuration,Call Type,EmployeeID,WaitTime,CallAbandoned
1,5/12/2021 14:39,1126,1,T398672,138,0
2,5/29/2021 13:55,486,3,U559430,2,0
3,6/11/2021 10:33,1289,3,D411745,0,0
4,5/3/2021 11:37,968,2,X825147,0,0
5,6/4/2021 10:01,300,3,E243130,0,0
6,6/16/2021 13:24,945,3,A166733,0,0
7,6/28/2021 11:04,379,1,B971624,11,0
8,5/4/2021 10:27,1044,3,U641256,0,0
9,6/8/2021 12:18,1320,2,K915074,69,0
10,6/5/2021 12:41,1294,2,G586239,10,0
11,5/12/2021 11:32,1357,1,P286634,0,0
12,5/6/2021 13:26,570,3,M855788,23,0
13,6/15/2021 14:16,26,3,M794992,26,0
14,6/28/2021 10:29,8,2,I281837,8,0
15,6/1/2021 11:26,1500,3,B861430,30,0
16,5/29/2021 13:59,960,1,O362956,0,1
17,5/6/2021 11:54,182,2,S704443,7,0
18,6/3/2021 13:44,1026,3,S274120,0,0
19,5/29/2021 11:23,649,3,E778362,0,0
20,5/30/2021 12:22,433,2,M794992,172,0
21,5/20/2021 8:33,158,3,N470942,18,1
22,6/4/2021 10:22,671,2,P203824,13,1
23,6/26/2021 8:33,1293,2,S564705,0,0
24,6/3/2021 13:20,914,2,J549755,0,0
25,6/30/2021 11:13,1208,1,C319958,0,0
26,6/2/2021 14:50,800,1,J192194,0,0
27,5/22/2021 12:42,651,2,F542348,111,0
28,6/16/2021 11:02,1155,3,V828034,106,0
29,5/23/2021 10:13,311,3,X409223,9,0
30,6/3/2021 14:08,1040,2,N772493,18,0
31,5/24/2021 9:47,1271,3,C206355,144,0
32,5/16/2021 8:00,229,2,J632516,10,0
33,5/23/2021 9:15,467,3,U194381,23,0
34,6/21/2021 14:13,283,1,I543040,5,0
35,5/27/2021 14:35,186,3,B861430,0,0
36,6/13/2021 11:31,1364,3,K399501,12,0
37,6/29/2021 12:47,364,3,D774655,0,0
38,6/28/2021 9:14,1290,3,G586239,7,0
39,6/19/2021 13:32,308,2,K915074,30,0
40,6/27/2021 12:03,1186,1,N620104,0,0
41,6/5/2021 14:34,130,1,U641256,0,0
42,5/29/2021 14:24,930,3,M855788,0,0
43,5/31/2021 12:40,314,2,N620104,7,0
44,5/1/2021 14:56,549,2,K222775,13,0
45,6/30/2021 15:22,504,3,N772493,0,0
46,6/28/2021 11:41,1390,2,G727038,23,0
47,5/27/2021 12:28,700,1,E778362,0,0
48,6/6/2021 15:58,1445,3,J632516,28,0
49,5/19/2021 9:22,1161,3,M794992,0,0
50,6/24/2021 13:44,1255,2,K669566,2,0
51,6/3/2021 15:28,1152,1,E778362,262,0
52,6/16/2021 11:32,1378,3,A166733,25,0
53,6/16/2021 9:39,755,2,J419954,0,0
54,5/3/2021 10:42,1069,3,E137708,5,0
55,6/18/2021 9:22,1484,2,X409223,24,0
56,5/19/2021 12:35,196,1,A166733,3,0
57,6/7/2021 9:35,758,3,M855788,0,0
58,5/1/2021 15:48,897,3,Y193775,0,0
59,5/28/2021 14:49,1278,3,U641256,0,0
60,5/7/2021 12:18,838,2,E778362,0,0
61,6/29/2021 11:42,938,3,I281837,0,0
62,5/25/2021 11:59,681,3,N119221,10,0
